ID;TIPO  EXTINTOR;CAPACIDAD;UBICACION;Ultima recarga; Proxima recarga;REVISION 1;REVISION 2;REVISION 3;REVISION 4;FECHA PRUEBA HIDROSTATICA Ultima;FECHA PRUEBA HIDROSTATICA Proxima ;Manómetro bueno;Manómetro malo;Manija bueno;Manija malo;Pasador bueno;Pasador malo;Etiqueta bueno;Etiqueta malo;Pintura bueno;Pintura malo;Cilindro bueno;Cilindro malo;Señalizacion bueno;Señalizacion malo;OBSERVACIONES
STOCK 17;CO2;20 LIBRAS ;BRIGADA DE EMERGENCIAS;abr-24;abr-24;;;;X;;;N/A;;X;;X;;X;;X;;X;;X;;
STOCK 18;MULTIPRO;10 LIBRAS ;BRIGADA DE EMERGENCIAS;nov-23;nov-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 19;MULTIPRO;20 LIBRAS ;BRIGADA DE EMERGENCIAS;ene-24;ene-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 20;MULTIPRO;10 LIBRAS ;BRIGADA DE EMERGENCIAS;jun-23;jun-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
STOCK 21;MULTIPRO;10 LIBRAS ;BRIGADA DE EMERGENCIAS;jun-23;jun-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
1 Sala de ventas IDEO;CO2;5 LIBRAS;Sala de ventas IDEO ;ago-23;ago-24;;;;;;;NA;;X;;X;;X;;X;;X;;X;;
2 Sala de ventas IDEO;MULTIPRO;10 LIBRAS ;Sala de ventas IDEO;mar-24;mar-24;;;;;;;X;;X;;X;;X;;X;;X;;X;;
SALA PREMIUM1;PQS;20 LIBRAS ;Sala de ventas BOGOTA;dic-23;dic-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
SALA PREMIUM2;PQS;20 LIBRAS ;Sala de ventas BOGOTA;dic-23;dic-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
SALA PREMIUM3;CO2;5 LIBRAS;Sala de ventas BOGOTA;dic-23;dic-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
SALA PREMIUM4;H2O;2.5 GLS;Sala de ventas BOGOTA;dic-23;dic-23;;;;;;;X;;X;;X;;X;;X;;X;;X;;
